1986 12 00 9.83
1987 1 00 10.86
1987 2 00 10.23
1987 3 00 8.78
1987 4 00 8.94
1987 5 00 7.12
1987 6 00 7.37
1987 7 00 3.72
1987 8 00 5.02
1987 9 00 7.98
1987 10 00 7.50
1987 11 00 11.21
1987 12 00 10.93
1988 1 00 11.96
1988 2 00 10.42
1988 3 00 9.47
1988 4 00 7.26
1988 5 00 6.55
1988 6 00 5.43
1988 7 00 5.97
1988 8 00 6.17
1988 9 00 7.47
1988 10 00 7.49
1988 11 00 12.36
1988 12 00 9.38
1989 1 00 12.50
1989 2 00 7.46
1989 3 00 11.33
1989 4 00 6.38
1989 5 00 3.99
1989 6 00 5.99
1989 7 00 4.17
1989 8 00 3.51
1989 9 00 5.45
1989 10 00 7.77
1989 11 00 9.91
1989 12 00 11.43
1990 1 00 11.09
1990 2 00 10.83
1990 3 00 7.42
1990 4 00 6.42
1990 5 00 4.29
1990 6 00 5.65
1990 7 00 4.98
1990 8 00 4.67
1990 9 00 6.41
1990 10 00 10.41
1990 11 00 10.68
1990 12 00 10.94
1991 1 00 9.32
1991 2 00 10.20
1991 3 00 7.29
1991 4 00 6.34
1991 5 00 6.31
1991 6 00 5.08
1991 7 00 6.10
1991 8 00 6.66
1991 9 00 5.89
1991 10 00 7.33
1991 11 00 12.65
1991 12 00 12.84
1992 1 00 11.75
1992 2 00 12.44
1992 3 00 5.99
1992 4 00 6.48
1992 5 00 6.23
1992 6 00 4.88
1992 7 00 4.92
1992 8 00 5.95
1992 9 00 7.48
1992 10 00 9.26
1992 11 00 10.72
1992 12 00 10.57
1993 1 00 9.98
1993 2 00 10.61
1993 3 00 9.68
1993 4 00 7.14
1993 5 00 7.22
1993 6 00 4.25
1993 7 00 4.43
1993 8 00 4.43
1993 9 00 6.03
1993 10 00 6.47
1993 11 00 9.77
1993 12 00 10.68
1994 1 00 10.99
1994 2 00 14.39
1994 3 00 8.81
1994 4 00 7.12
1994 5 00 6.28
1994 6 00 5.45
1994 7 00 4.87
1994 8 00 3.73
1994 9 00 6.51
1994 10 00 8.78
1994 11 00 10.95
1994 12 00 10.64
1995 1 00 9.21
1995 2 00 9.58
1995 3 00 9.35
1995 4 00 7.77
1995 5 00 5.80
1995 6 00 5.16
1995 7 00 5.39
1995 8 00 5.20
1995 9 00 5.20
1995 10 00 9.39
1995 11 00 11.88
1995 12 00 11.81
1996 1 00 10.95
1996 2 00 9.33
1996 3 00 10.25
1996 4 00 9.80
1996 5 00 4.68
1996 6 00 5.78
1996 7 00 6.85
1996 8 00 6.05
1996 9 00 5.39
1996 10 00 9.15
1996 11 00 11.34
1996 12 00 11.22
1997 1 00 11.36
1997 2 00 9.60
1997 3 00 11.78
1997 4 00 7.71
1997 5 00 5.83
1997 6 00 5.43
1997 7 00 5.48
1997 8 00 5.72
1997 9 00 6.54
1997 10 00 9.04
1997 11 00 8.39
1997 12 00 11.88
1998 1 00 14.89
1998 2 00 11.79
1998 3 00 8.13
1998 4 00 6.06
1998 5 00 5.12
1998 6 00 5.56
1998 7 00 5.55
1998 8 00 5.67
1998 9 00 6.42
1998 10 00 9.59
1998 11 00 9.32
1998 12 00 12.87
1999 1 00 10.28
1999 2 00 13.08
1999 3 00 9.33
1999 4 00 6.56
1999 5 00 6.20
1999 6 00 6.01
1999 7 00 5.48
1999 8 00 5.06
1999 9 00 6.55
1999 10 00 9.65
1999 11 00 10.96
1999 12 00 10.60
2000 1 00 10.56
2000 2 00 7.69
2000 3 00 10.63
2000 4 00 7.77
2000 5 00 6.01
2000 6 00 6.09
2000 7 00 5.35
2000 8 00 6.36
2000 9 00 7.28
2000 10 00 8.12
2000 11 00 9.73
2000 12 00 10.10
2001 1 00 10.67
2001 2 00 8.27
2001 3 00 10.12
2001 4 00 7.49
2001 5 00 7.98
2001 6 00 3.99
2001 7 00 5.39
2001 8 00 7.39
2001 9 00 8.20
2001 10 00 10.46
2001 11 00 12.09
2001 12 00 11.08
2002 1 00 10.74
2002 2 00 9.58
2002 3 00 9.59
2002 4 00 6.95
2002 5 00 5.88
2002 6 00 6.24
2002 7 00 6.45
2002 8 00 6.88
2002 9 00 6.60
2002 10 00 6.14
2002 11 00 10.90
2002 12 00 10.85
2003 1 00 14.54
2003 2 00 7.47
2003 3 00 10.72
2003 4 00 8.21
2003 5 00 -999.99
2003 6 00 5.87
2003 7 00 5.90
2003 8 00 4.91
2003 9 00 7.33
2003 10 00 9.12
2003 11 00 7.68
2003 12 00 11.57
2004 1 00 12.09
2004 2 00 8.44
2004 3 00 9.97
2004 4 00 5.92
2004 5 00 5.16
2004 6 00 4.91
2004 7 00 5.00
2004 8 00 3.70
2004 9 00 7.76
2004 10 00 10.11
2004 11 00 9.54
2004 12 00 11.29
